Type,Published,Is Featured,Visibility,Tax Status,In Stock,Backorder,Sold Individually,Allow Customer Reviews,Parent,Name,Regular Price,Description,SKU,Image,Attribute 1 Name,Attribute 1 Value,Attribute 1 Visibility,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value,Attribute 1 Visibility,Attribute 1 Global
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,24,0,1,Color,BLUSH,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,2,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,4,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,6,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,8,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,10,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,12,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,14,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,16,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,18,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,20,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,22,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,24,0,1,Color,BURGUNDY,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,2,0,1,Color,CHARCOAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,4,0,1,Color,CHARCOAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,6,0,1,Color,CHARCOAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,8,0,1,Color,CHARCOAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,10,0,1,Color,CHARCOAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,12,0,1,Color,CHARCOAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,14,0,1,Color,CHARCOAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,16,0,1,Color,CHARCOAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,18,0,1,Color,CHARCOAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,20,0,1,Color,CHARCOAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,22,0,1,Color,CHARCOAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,24,0,1,Color,CHARCOAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,2,0,1,Color,DARK-PLUM,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,4,0,1,Color,DARK-PLUM,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,6,0,1,Color,DARK-PLUM,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,8,0,1,Color,DARK-PLUM,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,10,0,1,Color,DARK-PLUM,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,12,0,1,Color,DARK-PLUM,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,14,0,1,Color,DARK-PLUM,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,16,0,1,Color,DARK-PLUM,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,18,0,1,Color,DARK-PLUM,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,20,0,1,Color,DARK-PLUM,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,22,0,1,Color,DARK-PLUM,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,24,0,1,Color,DARK-PLUM,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,2,0,1,Color,DEEP-RED,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,4,0,1,Color,DEEP-RED,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,6,0,1,Color,DEEP-RED,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,8,0,1,Color,DEEP-RED,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,10,0,1,Color,DEEP-RED,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,12,0,1,Color,DEEP-RED,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,14,0,1,Color,DEEP-RED,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,16,0,1,Color,DEEP-RED,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,18,0,1,Color,DEEP-RED,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,20,0,1,Color,DEEP-RED,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,22,0,1,Color,DEEP-RED,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,24,0,1,Color,DEEP-RED,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,2,0,1,Color,DUSTY-ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,4,0,1,Color,DUSTY-ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,6,0,1,Color,DUSTY-ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,8,0,1,Color,DUSTY-ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,10,0,1,Color,DUSTY-ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,12,0,1,Color,DUSTY-ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,14,0,1,Color,DUSTY-ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,16,0,1,Color,DUSTY-ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,18,0,1,Color,DUSTY-ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,20,0,1,Color,DUSTY-ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,22,0,1,Color,DUSTY-ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,24,0,1,Color,DUSTY-ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,2,0,1,Color,EGGPLANT,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,4,0,1,Color,EGGPLANT,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,6,0,1,Color,EGGPLANT,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,8,0,1,Color,EGGPLANT,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,10,0,1,Color,EGGPLANT,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,12,0,1,Color,EGGPLANT,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,14,0,1,Color,EGGPLANT,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,16,0,1,Color,EGGPLANT,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,18,0,1,Color,EGGPLANT,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,20,0,1,Color,EGGPLANT,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,22,0,1,Color,EGGPLANT,0,1
variation,1,0,visible,taxable,1,0,0,,cdet320,,99,,,,Size,24,0,1,Color,EGGPLANT,0,1
variable,1,0,visible,taxable,1,0,0,,,GLITTER LACE BALL GOWN CDC32,217.8,<p>Layered lace ball gown with glitter embellishment and deep v-neckline.</p>,cdc32,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/c32_1.jpg?v=1614693319,Size,"4,6,8,10,12,14,16,18,20,22,24",0,1,Color,"ROSE-GOLD,SMOKY-BLUE",0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/c32_2_1.jpg?v=1614693319,Size,4,0,1,Color,ROSE-GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/c32_smoky-blue_1.jpg?v=1614693319,Size,6,0,1,Color,ROSE-GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,8,0,1,Color,ROSE-GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,10,0,1,Color,ROSE-GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,12,0,1,Color,ROSE-GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,14,0,1,Color,ROSE-GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,16,0,1,Color,ROSE-GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,18,0,1,Color,ROSE-GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,20,0,1,Color,ROSE-GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,22,0,1,Color,ROSE-GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,24,0,1,Color,ROSE-GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,2,0,1,Color,SMOKY-BLUE,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,4,0,1,Color,SMOKY-BLUE,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,6,0,1,Color,SMOKY-BLUE,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,8,0,1,Color,SMOKY-BLUE,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,10,0,1,Color,SMOKY-BLUE,0,1
variation,1,0,visible,taxable,1,0,0,,cdc32,,217.8,,,,Size,12,0,1,Color,SMOKY-BLUE,0,1
