Type,Published,Is Featured,Visibility,Tax Status,In Stock,Backorder,Sold Individually,Allow Customer Reviews,Parent,Name,Regular Price,Description,SKU,Image,Attribute 1 Name,Attribute 1 Value,Attribute 1 Visibility,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value,Attribute 1 Visibility,Attribute 1 Global
variation,1,0,visible,taxable,1,0,0,,tktwoss21el0218,,63,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/1_org_zoom_64.jpg?v=1611118205,Size,42,0,1,Color,BROWN,0,1
variable,1,0,visible,taxable,1,0,0,,,Bateau Neck 3/4th Sleeve Prom Dress TKTWOSS21EL0277,60,"<span data-mce-fragment=""1"">Short Formal Evening Dresses with bateau neckline, 3/4th sleeve dress, covered back with zippered closure, a-line shape.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Material: 100% Polyester</li>
<li data-mce-fragment=""1"">Covered Back Short Dress</li>
<li data-mce-fragment=""1"">Bateau Neckline Short A-Line Silhouette</li>
<li data-mce-fragment=""1"">Style: Bateau Neckline, A-Line Silhouette, Short, Covered Back</li>
<li data-mce-fragment=""1"">Occasion: Formal, Evening, Cocktail, Guest of Wedding, Bridal, Bridesmaid, Banquet, Prom, Ball, Graduation, Special Occasion.</li>
<li data-mce-fragment=""1"">Garment Care: Dry Clean Suggested</li>
</ul>
<span data-mce-fragment=""1"">g</span><br data-mce-fragment=""1""><span data-mce-fragment=""1""></span>",tktwoss21el0277,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/2_org_zoom_55.jpg?v=1611117889,Size,"36,38,40,42",0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoss21el0277,,60,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/5_org_zoom_17_5e812ac5-a238-4263-8740-bd4ab10159a5.jpg?v=1611117889,Size,36,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoss21el0277,,60,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/4_org_zoom_38.jpg?v=1611117889,Size,38,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoss21el0277,,60,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/3_org_zoom_43.jpg?v=1611117889,Size,40,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoss21el0277,,60,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/1_org_zoom_63.jpg?v=1611117889,Size,42,0,1,Color,BLACK,0,1
variable,1,0,visible,taxable,1,0,0,,,Bateau Neck A-Line Shape Short Dress TKTWOSS21EL0420,68,"<span data-mce-fragment=""1"">Short Formal Evening Dresses with bateau neckline, 3/4th sleeve dress, covered back with zippered closure, a-line shape.</span><br data-mce-fragment=""1""><br data-mce-fragment=""1"">
<ul data-mce-fragment=""1"">
<li data-mce-fragment=""1"">Material: 100% Polyester</li>
<li data-mce-fragment=""1"">Covered Back Short Dress</li>
<li data-mce-fragment=""1"">Bateau Neckline Short A-Line Silhouette</li>
<li data-mce-fragment=""1"">Style: Bateau Neckline, A-Line Silhouette, Short, Covered Back</li>
<li data-mce-fragment=""1"">Occasion: Formal, Evening, Cocktail, Guest of Wedding, Bridal, Bridesmaid, Banquet, Prom, Ball, Graduation, Special Occasion.</li>
<li data-mce-fragment=""1"">Garment Care: Dry Clean Suggested</li>
</ul>
<span data-mce-fragment=""1"">g</span><br data-mce-fragment=""1""><span data-mce-fragment=""1""></span>",tktwoss21el0420,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/2_org_zoom_54.jpg?v=1611117238,Size,"36,38,40,42",0,1,Color,BEIGE,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoss21el0420,,68,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/6_org_zoom_13.jpg?v=1611117238,Size,36,0,1,Color,BEIGE,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoss21el0420,,68,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/5_org_zoom_16_614ec446-3f55-463e-b93a-c9a69e65d41e.jpg?v=1611117238,Size,38,0,1,Color,BEIGE,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoss21el0420,,68,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/3_org_zoom_42.jpg?v=1611117238,Size,40,0,1,Color,BEIGE,0,1
