Type,Published,Is Featured,Visibility,Tax Status,In Stock,Backorder,Sold Individually,Allow Customer Reviews,Parent,Name,Regular Price,Description,SKU,Image,Attribute 1 Name,Attribute 1 Value,Attribute 1 Visibility,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value,Attribute 1 Visibility,Attribute 1 Global
variable,1,0,visible,taxable,1,0,0,,,Glitter Crepe V-Neckline Long Prom Dress ACR013,130,"<p>Spaghetti Strap V-Neckline Glitter Crepe Sleeveless A-Line Shape Long Evening Prom Bridesmaid Dress with open back and zipper clouser.</p>
<div class=""std"">
<div class=""std"">
<div class=""std"">
<div class=""std"">
<div class=""std"">
<div class=""std"">
<div class=""std"">
<div class=""std"">
<div class=""std"">
<div class=""shortdescription"">
<ul class=""a-unordered-list a-vertical a-spacing-none"">
<li><span class=""a-list-item"">Material: 100% Polyester<br></span></li>
<li><span class=""a-list-item"">V-Neckline<br></span></li>
<li><span class=""a-list-item"">Sleeveless Long DressåÊ</span></li>
<li>A-Line Silhouette Long Dress</li>
<li>
<span class=""a-list-item"">V-Neckline</span>, A-Line Silhouette, Maxi Long Length,Concealed Back Zipper makes it easy to put on and take off.</li>
<li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li>
<li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li>
</ul>
<p></p>
<ul>
<li>
</li>
<li>
</li>
<li>
</li>
</ul>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>",acr013,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/R013-2_fb70c32f-aeef-49ee-b35c-61a3db3394f1.jpg?v=1571710311,Size,"XS,M,L,XL,2XL",0,1,Color,"GOLD,ROSE",0,1
variation,1,0,visible,taxable,1,0,0,,acr013,,130,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/R013-3.jpg?v=1571710311,Size,XS,0,1,Color,GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,acr013,,146,,,,Size,XS,0,1,Color,ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,acr013,,130,,,,Size,S,0,1,Color,GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,acr013,,130,,,,Size,S,0,1,Color,ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,acr013,,130,,,,Size,M,0,1,Color,ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,acr013,,130,,,,Size,L,0,1,Color,GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,acr013,,130,,,,Size,L,0,1,Color,ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,acr013,,130,,,,Size,XL,0,1,Color,ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,acr013,,130,,,,Size,2XL,0,1,Color,GOLD,0,1
variation,1,0,visible,taxable,1,0,0,,acr013,,130,,,,Size,2XL,0,1,Color,ROSE,0,1
variable,1,0,visible,taxable,1,0,0,,,V-Neckline Short Sleeves BLACK Evening Dress TKTWOSS19OS0030,58,"<p>Fluffy Dress Short Sleeves V-neckline short A-Line Shape Evening Prom Party Bridesmaid Dress with v-back and zipper clouser.</p><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""shortdescription""><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">V-Neckline<br></span></li><li><span class=""a-list-item"">Sleeveless Short DressåÊ</span></li><li>A-Line Silhouette Long Dress</li><li><span class=""a-list-item"">V-Neckline</span>, A-LineSilhouette, Short Length,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li></li>
</ul></div></div></div></div></div></div></div></div></div></div>",tktwoss19os0030,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8681825407421_1_org_zoom_8f8f3587-d7da-43ca-9feb-ad29362b1ae4.jpg?v=1571710311,Size,"S,M,L,XL",0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoss19os0030,,58,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8681825407421_2_org_zoom.jpg?v=1571710311,Size,S,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoss19os0030,,58,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8681825407421_3_org_zoom.jpg?v=1571710311,Size,M,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoss19os0030,,58,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8681825407421_5_org_zoom.jpg?v=1571710311,Size,L,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoss19os0030,,58,,,,Size,XL,0,1,Color,BLACK,0,1
variable,1,0,visible,taxable,1,0,0,,,Spaghetti Strap Sleeveless V-Neck Long Evening Dress TKTPRAW19FZ0276,62,"<p>Sleeveless Spaghetti Strap Leg Slit A-Line Shape Long Evening Party Bridesmaid Dress with open back and strap clouser.</p><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""shortdescription""><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">V-Neckline<br></span></li><li><span class=""a-list-item"">Sleeveless Long DressåÊ</span></li><li>A-Line Silhouette Long Dress</li><li><span class=""a-list-item"">V-Neckline</span>, A-Line Silhouette, Maxi Long Length,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li></li>
</ul></div></div></div></div></div></div></div></div></div></div>",tktpraw19fz0276,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8680651085476_3_org_zoom_ebc7653f-063c-4f4b-b4c6-b9621c9d215f.jpg?v=1571710311,Size,,0,1,Color,,0,1
variable,1,0,visible,taxable,1,0,0,,,Halter Neckline Sleeveless Soft Evening Dress TKTWOSS19YD0032,58,"<p>Sleeveless Halter Neckline Long Belt A-Line Lace Skirt Short Evening Party Bridesmaid Dress with close back and zipper clouser.</p><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""shortdescription""><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">|Halter Neckline<br></span></li><li><span class=""a-list-item"">Sleeveless Short DressåÊ</span></li><li>Sheath Silhouette Short Dress</li><li><span class=""a-list-item"">V-Neckline</span>, Sheath Silhouette, Short Length,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li></li>
</ul></div></div></div></div></div></div></div></div></div></div>",tktwoss19yd0032,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8681825312459_1_org_zoom_0ada439b-20c7-4f57-b5ed-e94b4ab7ad7f.jpg?v=1571710311,Size,XL,0,1,Color,ORANGE,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoss19yd0032,,54,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8681825312459_2_org_zoom_c517caca-1171-41dc-9c01-ad5e4879256e.jpg?v=1571710311,Size,XL,0,1,Color,ORANGE,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoss19yd0032,,58,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8681825312459_4_org_zoom.jpg?v=1571710311,Size,L,0,1,Color,ORANGE,0,1
variable,1,0,visible,taxable,1,0,0,,,Cap Sleeves Scoop Neckline A-Line Long Prom Dress APL2157,240,"<p>Patterned Scoop Neckline Cap Sleeves A-Line Shape Long Evening Prom Bridesmiad Dress with sheer back and zipper clouser.</p><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""shortdescription""><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">Scoop Neckline<br></span></li><li><span class=""a-list-item"">Sleeveless Long DressåÊ</span></li><li>A-line Silhouette Long Dress</li><li><span class=""a-list-item"">Scoop Neckline</span>, A-Line Silhouette, Maxi Long Length,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul></div></div></div></div></div></div></div></div></div></div>",apl2157,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/l2157_blush_1_1_04e8486c-5395-406b-a60d-9d7b3468e154.jpg?v=1571710311,Size,"XXS,M,L,XL,2XL",0,1,Color,"CHAMPAGNE,ROYAL,BLUSH",0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/l2157_blush_2_1_ba6186cf-1499-4b69-81ed-62d73c0672e8.jpg?v=1571710311,Size,XXS,0,1,Color,CHAMPAGNE,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/l2157_detail_1_61063f14-9b2c-4f01-815e-e17cc4f7fc58.jpg?v=1571710311,Size,XXS,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/l2157_royal_1_1_155d9086-b001-4dab-9f3e-c21768395999.jpg?v=1571710311,Size,XS,0,1,Color,BLUSH,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/l2157_royal_2_1.jpg?v=1571710311,Size,XS,0,1,Color,CHAMPAGNE,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,XS,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,S,0,1,Color,BLUSH,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,S,0,1,Color,CHAMPAGNE,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,S,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,M,0,1,Color,BLUSH,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,M,0,1,Color,CHAMPAGNE,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,M,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,L,0,1,Color,BLUSH,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,L,0,1,Color,CHAMPAGNE,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,L,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,XL,0,1,Color,BLUSH,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,XL,0,1,Color,CHAMPAGNE,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,XL,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,2XL,0,1,Color,BLUSH,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,2XL,0,1,Color,CHAMPAGNE,0,1
variation,1,0,visible,taxable,1,0,0,,apl2157,,240,,,,Size,2XL,0,1,Color,ROYAL,0,1
variable,1,0,visible,taxable,1,0,0,,,V-Neckline Sleeveless Black Leg Slit Long Evening Dress TKTPRAW19FZ0276,88,"<p>Spaghetti Strap V-Neckline Sleeveless Lace Leg Slit A-Line Shape Long Evening Bridesmaid Party Dress with open back and zipper closuer.</p><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Chiffon</span></li><li><span class=""a-list-item"">V-Neckline Spaghetti Straps<br></span></li><li>Maxi Long A-Line Silhouette</li><li><span class=""a-list-item"">Style: V-Neckline , Sexy A-Line Silhouette, Maxi Length, Open Back , Concealed Back Zipper makes it easy to put on and take off.</span></li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Bridal, Bridesmaid, Mother of the Bride, Gala, Party, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:<span>åÊ</span><span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>g</li><li>Special Discounts</li></ul><p>åÊDo not miss the opportunity to purchase a dress and prepare for the season</p>",tktpraw19fz0276,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8680651085476_4_org_zoom.jpg?v=1571710310,Size,"L,XL",0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw19fz0276,,88,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8680651085476_1_org_zoom.jpg?v=1571710310,Size,L,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw19fz0276,,88,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8680651085476_2_org_zoom.jpg?v=1571710310,Size,XL,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw19fz0276,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8680651085476_3_org_zoom.jpg?v=1571710310,Size,,0,1,Color,,0,1
variable,1,0,visible,taxable,1,0,0,,,Blue Button Clouser Sleeveless Short Party Dress TKTWOSS19AA0042,54,"<p>Button Clouser Square Neckline Sleeveless A-Line shape Short Evening Party Dress with close back and button closuer.</p><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester</span></li><li><span class=""a-list-item"">Square Neckline<br></span></li><li><span class=""a-list-item"">Long Sleeveless DressåÊ</span></li><li>Close Back with Buttons</li><li>A-line Silhouette ShortåÊ Dress</li><li><span class=""a-list-item"">Square NecklineåÊ</span>, A-line Silhouette, Short Length,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Cocktail, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul>",tktwoss19aa0042,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8681825594428_1_org_zoom.jpg?v=1571710310,Size,,0,1,Color,,0,1
variable,1,0,visible,taxable,1,0,0,,,Button Clouser Sleeveless Short Party Dress TKTWOSS19AA0042,54,"<p>Button Clouser Square Neckline Sleeveless A-Line shape Short Evening Party Dress with close back and button closuer.</p><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester</span></li><li><span class=""a-list-item"">Square Neckline<br></span></li><li><span class=""a-list-item"">Long Sleeveless DressåÊ</span></li><li>Close Back with Buttons</li><li>A-line Silhouette ShortåÊ Dress</li><li><span class=""a-list-item"">Square NecklineåÊ</span>, A-line Silhouette, Short Length,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Cocktail, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul>",tktwoss19aa0042,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8681825311537_1_org_zoom.jpg?v=1571710310,Size,,0,1,Color,,0,1
