Type,Published,Is Featured,Visibility,Tax Status,In Stock,Backorder,Sold Individually,Allow Customer Reviews,Parent,Name,Regular Price,Description,SKU,Image,Attribute 1 Name,Attribute 1 Value,Attribute 1 Visibility,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value,Attribute 1 Visibility,Attribute 1 Global
variable,1,0,visible,taxable,1,0,0,,,Long Evening Gown with Illusion Neckline GSGL2149,416,,gsgl2149,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/aefa2ff5-df5c-4209-9927-093805202100_120bd97d-716a-44f1-9e87-3828bfd43247.jpg?v=1571710285,Size,"S,XL,2XL,M,XS",0,1,Color,"BLACK,NUDE",0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2149,,416,,,,Size,S,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2149,,416,,,,Size,XL,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2149,,416,,,,Size,2XL,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2149,,416,,,,Size,M,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2149,,416,,,,Size,2XL,0,1,Color,NUDE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2149,,416,,,,Size,XS,0,1,Color,NUDE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2149,,416,,,,Size,XL,0,1,Color,NUDE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2149,,416,,,,Size,S,0,1,Color,NUDE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2149,,416,,,,Size,M,0,1,Color,NUDE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2149,,416,,,,Size,L,0,1,Color,NUDE,0,1
variable,1,0,visible,taxable,1,0,0,,,Long Evening Gown GSGL2111,253,,gsgl2111,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/c959e61d-df1f-4f9e-88ae-98952fabbad8_4edcba08-2562-4871-8552-cbba1b4918b6.jpg?v=1571710285,Size,,0,1,Color,,0,1
variable,1,0,visible,taxable,1,0,0,,,Long Unique Prom Dresses GSGL2098,262,"<p>Long Evening and Prom Gown with illusion neckline with floral embroidered top, sleeveles, chiffon fabric bodice, V open back featuring zipper closure, and also long waved skirt with train detail.</p>",gsgl2098,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/1a1657a5-a6bf-4ae0-9796-d477ad4858c7_09581bd7-f5bf-4f3a-93b2-ed4c8122e6c3.jpg?v=1571710285,Size,"XS,M,L,XL,2XL",0,1,Color,"MAUVE,SILVER",0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2098,,262,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/19e575ea-b5b1-46f3-bb64-6f7c0fb5750b_bd45c77c-0efe-4002-b24b-a3a453d183f6.jpg?v=1571710285,Size,XS,0,1,Color,MAUVE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2098,,262,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/05ad2d85-a041-42a2-b0c6-179bf53570de_a0f4e3cf-9a15-4d76-a045-b1de0a2353ce.jpg?v=1571710285,Size,S,0,1,Color,MAUVE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2098,,262,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/3ee94dca-21b7-4be4-9820-7d3c40dbf5b0_83ea6154-ad37-4298-a25e-09b72f3b3c3e.jpg?v=1571710285,Size,S,0,1,Color,SILVER,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2098,,262,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/f1ff032c-0c9a-470f-93ac-b73acf619c6e_423d8c18-9086-4309-a6ae-c1857500ab73.jpg?v=1571710285,Size,M,0,1,Color,SILVER,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2098,,262,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/0fa22c53-1968-4c75-8901-80f4fc1d01c2_72d09f97-7792-4382-8791-95846160dc8e.jpg?v=1571710285,Size,M,0,1,Color,MAUVE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2098,,262,,,,Size,L,0,1,Color,MAUVE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2098,,262,,,,Size,L,0,1,Color,SILVER,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2098,,262,,,,Size,XL,0,1,Color,SILVER,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2098,,262,,,,Size,XL,0,1,Color,MAUVE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2098,,262,,,,Size,2XL,0,1,Color,SILVER,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl2098,,262,,,,Size,2XL,0,1,Color,MAUVE,0,1
variable,1,0,visible,taxable,1,0,0,,,Long Unique Prom Dresses With Illusion Neckline GSGL2093,284,"<p>Long Porm and Evening Dress with illusion neckline featuring rhinestone beading, sleeveless, chiffon fabric bodice with sami sheer back featuring zipper closure, and also long solid color skirt.</p>",gsgl2093,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/a4f630e5-e5c9-456e-a073-51640f208b42_635fcb5c-600d-425d-b173-0b27fad230da.jpg?v=1571710285,Size,,0,1,Color,,0,1
variable,1,0,visible,taxable,1,0,0,,,Evening Dress With High Neckline GSGL2225,268,"<p>Solid color Long Evening and Elegant Prom Dresses with high neckline featuring Floral tracery with Sequin beading, sleeveless, Jersey fabric dress with open back nad zipper closure, and also long mermaid shape skirt with train detail.</p>",gsgl2225,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/7a34c212-1f0a-47cf-b504-c68266adb44d_44d04bdc-0527-4bbc-962b-c8f38b80add7.jpg?v=1571710285,Size,"2XL,XS,M",0,1,Color,"BLACK,BURGUNDY",0,1
