Type,Published,Is Featured,Visibility,Tax Status,In Stock,Backorder,Sold Individually,Allow Customer Reviews,Parent,Name,Regular Price,Description,SKU,Image,Attribute 1 Name,Attribute 1 Value,Attribute 1 Visibility,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value,Attribute 1 Visibility,Attribute 1 Global
variable,1,0,visible,taxable,1,0,0,,,V-Neckline Graduation Short Dress TKTWOAW20EL0956,58,"<p>Black Long Sleeves V-Neckline Sheath Graduation Evening Party Homecoming Short Dress with Covered Back and Zipper Closure.</p><div class=""product-detail spaced-row container cf""><div class=""description user-content lightboximages padded-row""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""shortdescription""><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">V- Neckline<br></span></li><li><span class=""a-list-item"">Long Sleeves Short DressåÊ</span></li><li>Sheath Silhouette Short Dress</li><li><span class=""a-list-item"">V-Neckline</span>, Sheath Silhouette, Knee Length,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul></div></div></div></div></div></div></div></div></div></div></div></div>",tktwoaw20el0956,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/1_org_zoom_0ba3cd73-ec35-4232-9b85-41b40495da81.jpg?v=1571710380,Size,"M,XL",0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoaw20el0956,,58,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/2_org_zoom_f4a6be57-a930-4986-b308-a12b9ba486b2.jpg?v=1571710380,Size,M,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoaw20el0956,,58,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/4_org_zoom_13a91de4-ba84-44fd-9d51-a1d0eb8944a4.jpg?v=1571710380,Size,XL,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoaw20el0956,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/5_org_zoom_555c76a0-fe08-439e-8e9d-9467a62a7a24.jpg?v=1571710380,Size,,0,1,Color,,0,1
variation,1,0,visible,taxable,1,0,0,,tktwoaw20el0956,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/3_org_zoom-1_edd718df-0e06-43cc-b38a-768261b1fb33.jpg?v=1571710380,Size,,0,1,Color,,0,1
variable,1,0,visible,taxable,1,0,0,,,Scoop Neckline Homecoming Short Dress TKTWOAW20EL0922,35,"<p>Blue Scoop Neckline Long Sleeves Evening Homecoming Party Prom Dress with Covered Back and Zipper Closure.</p><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""shortdescription""><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">Scoop Neckline<br></span></li><li><span class=""a-list-item"">Long Sleeves Short Dress, A-Line </span>Silhouette Short Dress</li><li><span class=""a-list-item"">Scoop Neckline</span>,åÊ Silhouette,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul></div></div></div></div></div></div></div></div></div></div>",tktwoaw20el0922,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/1_org_zoom_28398718-6ee5-4f9e-ab8c-54f79f42cddd.jpg?v=1571710380,Size,,0,1,Color,,0,1
variable,1,0,visible,taxable,1,0,0,,,Pink V-Neckline Graduation Short Dress TKTPRAW20EL0678,88,"<p>Pink Long Sleeves V-Neckline Sheath Graduation Evening Party Homecoming Short Dress with Covered Back and Zipper Closure.</p><div class=""product-detail spaced-row container cf""><div class=""description user-content lightboximages padded-row""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""shortdescription""><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">V- Neckline<br></span></li><li><span class=""a-list-item"">Long Sleeves Short DressåÊ</span></li><li>Sheath Silhouette Short Dress</li><li><span class=""a-list-item"">V-Neckline</span>, Sheath Silhouette, Knee Length,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul></div></div></div></div></div></div></div></div></div></div></div></div>",tktpraw20el0678,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/5_org_zoom_cd7b9b44-32cf-4988-a0bb-4890454b697b.jpg?v=1571710380,Size,"S,M,L",0,1,Color,PINK,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0678,,88,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/1_org_zoom_16bbc5bd-dc60-40a7-98dc-6fb5111dd917.jpg?v=1571710380,Size,S,0,1,Color,PINK,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0678,,88,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/2_org_zoom_41902f9f-6c90-4dec-8292-b7f261a6d137.jpg?v=1571710380,Size,M,0,1,Color,PINK,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0678,,88,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/3_org_zoom_c9860ab8-c53b-4cb6-9080-e67876221da1.jpg?v=1571710380,Size,L,0,1,Color,PINK,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0678,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/4_org_zoom-1.jpg?v=1571710380,Size,,0,1,Color,,0,1
variable,1,0,visible,taxable,1,0,0,,,Blue V-Neckline Graduation Short Dress TKTPRAW20EL0678,58,"<p>Blue Long Sleeves V-Neckline Sheath Graduation Evening Party Homecoming Short Dress with Covered Back and Zipper Closure.</p><div class=""product-detail spaced-row container cf""><div class=""description user-content lightboximages padded-row""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""shortdescription""><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">V- Neckline<br></span></li><li><span class=""a-list-item"">Long Sleeves Short DressåÊ</span></li><li>Sheath Silhouette Short Dress</li><li><span class=""a-list-item"">V-Neckline</span>, Sheath Silhouette, Knee Length,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul></div></div></div></div></div></div></div></div></div></div><div class=""esc-size-matters-preinstall"" id=""preinstall-33e2746c57baef1e96d32f2293568e91""></div></div></div><div class=""theme-product-reviews-full container""><div id=""shopify-product-reviews"" data-id=""4096502661225""></div></div><div id=""cbb-also-bought-box""></div><div class="" padded-row""><h4 class=""align-center""></h4></div>",tktpraw20el0678,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/1_org_zoom_ff725050-3c42-476a-8525-fde7f58a9bf1.jpg?v=1571710380,Size,"L,M,S",0,1,Color,BLUE,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0678,,66,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/2_org_zoom_d26050db-d352-4034-9d90-95f8d75a36be.jpg?v=1571710380,Size,L,0,1,Color,BLUE,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0678,,66,,,,Size,M,0,1,Color,BLUE,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0678,,58,,,,Size,S,0,1,Color,BLUE,0,1
variable,1,0,visible,taxable,1,0,0,,,Halter Neckline Graduation Midi Dress TKTPRAW20EL0508,41,"<p>Black Halter Neckline Sleeveless Evening Graduation Party Cocktail Homecoming Midi Length Dress with Covered Back and Zipper Closure.</p><div class=""shortdescription""><div class=""shortdescription""><div class=""shortdescription""><div class=""shortdescription""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Chiffon<br></span></li><li><span class=""a-list-item"">Halter Neckline<br></span></li><li><span class=""a-list-item"">Sleeveless Midi DressåÊ</span></li><li>A-Line Silhouette Long MaxiåÊ Dress</li><li><span class=""a-list-item"">Halter Neckline</span>, A-Line Silhouette, Midi Length,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul></div></div></div></div></div></div></div></div></div></div>",tktpraw20el0508,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/3_org_zoom_1ea250a8-eb15-4970-be99-a4018322f231.jpg?v=1571710380,Size,"S,L",0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0508,,41,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/2_org_zoom_903674de-ccf2-4aed-9a17-a4f303696b66.jpg?v=1581002945,Size,S,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0508,,66,,,,Size,L,0,1,Color,BLACK,0,1
variable,1,0,visible,taxable,1,0,0,,,V-Neckline Graduation Midi Dress TKTPRAW20EL0890,33,"<p>V-Neckline Long Sleeves Sheath Shape Midi Evening Prom Party Cocktail Homecoming Graduation Bridesmaid Dress with Covered back and zipper closure.</p><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""shortdescription""><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">V- Neckline<br></span></li><li><span class=""a-list-item"">Sleeveless Short DressåÊ</span></li><li>A-Line Silhouette Short Dress</li><li><span class=""a-list-item"">V-Neckline</span>, A-Line Silhouette, Knee Length,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul></div></div></div></div></div></div></div></div></div></div>",tktpraw20el0890,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/1_org_zoom_5342e312-b0ca-4550-b8e7-541c459a7efe.jpg?v=1571710380,Size,"S,M,L",0,1,Color,GREEN,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0890,,33,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/2_org_zoom_ab4c0b6e-052b-4868-8565-5db66e0c8cf4.jpg?v=1571710380,Size,S,0,1,Color,GREEN,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0890,,33,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/3_org_zoom_4d96bb6b-6ee7-436c-b6e0-80505c09b142.jpg?v=1571710380,Size,M,0,1,Color,GREEN,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0890,,33,,,,Size,L,0,1,Color,GREEN,0,1
variable,1,0,visible,taxable,1,0,0,,,Long Sleeves Graduation Midi Dress TKTPRAW20EL0665,54,"<p>V-Neckline Long SleevesåÊ A-Line Shape Midi Evening Prom Party Cocktail Homecoming Graduation Bridesmaid Dress with Covered back and zipper closure.</p><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""shortdescription""><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">V- Neckline<br></span></li><li><span class=""a-list-item"">Long Sleeves Short DressåÊ</span></li><li>A-Line Silhouette Short Dress</li><li><span class=""a-list-item"">V-Neckline</span>, A-Line Silhouette, Knee Length,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul></div></div></div></div></div></div></div></div></div></div>",tktpraw20el0665,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/2_org_zoom_3ae19cc5-4cca-4f61-bbae-d9a1d3076755.jpg?v=1571710380,Size,M,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0665,,54,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/4_org_zoom_7b450f53-8100-4809-89af-ce4ec03e4371.jpg?v=1580920205,Size,M,0,1,Color,BLACK,0,1
variable,1,0,visible,taxable,1,0,0,,,Long Sleeves Graduation Midi Dress TKTPRAW20EL0541,86,"<p>V-Neckline Long SleevesåÊ A-Line Shape Midi Evening Prom Party Cocktail Homecoming Graduation Bridesmaid Dress with Covered back and zipper closure.</p><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""std""><div class=""shortdescription""><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">V- Neckline<br></span></li><li><span class=""a-list-item"">Sleeveless Short DressåÊ</span></li><li>A-Line Silhouette Short Dress</li><li><span class=""a-list-item"">V-Neckline</span>, A-Line Silhouette, Knee Length,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul></div></div></div></div></div></div></div></div></div></div>",tktpraw20el0541,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/5_org_zoom_28809c59-af43-4836-80bc-15d0c262f928.jpg?v=1571710380,Size,"S,M,L",0,1,Color,GREEN,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0541,,86,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/1_org_zoom_6e64b9a5-05eb-42a7-bf13-faca283a59b4.jpg?v=1571710380,Size,S,0,1,Color,GREEN,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0541,,86,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/2_org_zoom_73604cba-93ce-4106-b579-c458a9637397.jpg?v=1571710380,Size,M,0,1,Color,GREEN,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0541,,86,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/3_org_zoom_56c70283-3d05-4779-ae8a-9278ee2106ff.jpg?v=1571710380,Size,L,0,1,Color,GREEN,0,1
variation,1,0,visible,taxable,1,0,0,,tktpraw20el0541,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/4_org_zoom_6935f523-99a8-4dd4-875d-6ef58d27d82a.jpg?v=1571710380,Size,,0,1,Color,,0,1
variable,1,0,visible,taxable,1,0,0,,,Orange Sleeveless Evening Midi Dress TKTPRSS19FZ0238,46,"<p>One Shoulder Sleeveless Sheath Shape Evening Party Cocktail Homecoming Midi Length Dress with Open Back and Zipper Closure.</p><ul class=""a-unordered-list a-vertical a-spacing-none""><li><span class=""a-list-item"">Material: 100% Polyester<br></span></li><li><span class=""a-list-item"">One Shoulder <br></span></li><li><span class=""a-list-item"">Sleeveless Midi DressåÊ</span></li><li>Sheath Silhouette Long Dress</li><li>Sheath Silhouette, Maxi Long Length,Concealed Back Zipper makes it easy to put on and take off.</li><li><span class=""a-list-item"">Occasion: Formal, Evening, Guest of Wedding, Mother of the Bride, Gala, Party, Banquet, Prom, Ball, Special Occasion.</span></li><li><span class=""a-list-item"">Garment Care:åÊ<span>Dry Clean SuggestedåÊ</span></span></li></ul><p></p><ul><li></li>
<li></li>
<li>Quick order procession</li></ul>",tktprss19fz0238,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8681825872656_4_org_zoom.jpg?v=1571710380,Size,,0,1,Color,,0,1
variation,1,0,visible,taxable,1,0,0,,tktprss19fz0238,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8681825872656_1_org_zoom.jpg?v=1571710380,Size,,0,1,Color,,0,1
variation,1,0,visible,taxable,1,0,0,,tktprss19fz0238,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8681825872656_2_org_zoom.jpg?v=1571710380,Size,,0,1,Color,,0,1
variation,1,0,visible,taxable,1,0,0,,tktprss19fz0238,,,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/8681825872656_3_org_zoom.jpg?v=1571710380,Size,,0,1,Color,,0,1
