Type,Published,Is Featured,Visibility,Tax Status,In Stock,Backorder,Sold Individually,Allow Customer Reviews,Parent,Name,Regular Price,Description,SKU,Image,Attribute 1 Name,Attribute 1 Value,Attribute 1 Visibility,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value,Attribute 1 Visibility,Attribute 1 Global
variation,1,0,visible,taxable,1,0,0,,gsgl1599,,368,,,,Size,3XL,0,1,Color,MAUVE,0,1
variable,1,0,visible,taxable,1,0,0,,,Illusion Neck Sleeveless A-Line Prom Dress GSGL1583,415,"Long Formal Evening Dresses with illusion neckline, lace dress, sheer back with zippered closure, a-line shape.<br><div class=""description user-content lightboximages padded-row""><ul><li>Material: 100% Polyester</li><li>Sheer Back Long Dress</li><li>Illusion Neckline Long A-Line Silhouette</li><li>Style: Illusion Neckline, A-Line Silhouette, Long, Sheer Back</li><li>Occasion: Formal, Evening, Cocktail, Guest of Wedding, Bridal, Bridesmaid, Banquet, Prom, Ball, Graduation, Special Occasion.</li><li>Garment Care: Dry Clean Suggested</li></ul><ul><li></li>
<li></li>
<li>g</li></ul></div>",gsgl1583,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/BGL1583_DROSE_1O.jpg?v=1592963575,Size,"S,M,L,2LX,3XL",0,1,Color,ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl1583,,415,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/BGL1583_DROSE_2O.jpg?v=1592963576,Size,S,0,1,Color,ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl1583,,415,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/BGL1583_DROSE_3O.jpg?v=1592963576,Size,M,0,1,Color,ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl1583,,415,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/BGL1583_DROSE_4O.jpg?v=1592963576,Size,L,0,1,Color,ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl1583,,415,,,,Size,2LX,0,1,Color,ROSE,0,1
variation,1,0,visible,taxable,1,0,0,,gsgl1583,,415,,,,Size,3XL,0,1,Color,ROSE,0,1
variable,1,0,visible,taxable,1,0,0,,,Illusion V-Neck A-Line Evening Dress ACSU063,203,"Long Formal Evening Dresses with illusion v-neckline, sequin bodice dress, open back with zippered closure, a-line shape.<div class=""description user-content lightboximages padded-row""><ul><li>Material: 100% Polyester</li><li>Open Back Long Dress</li><li>Illusion V-Neckline Long A-Line Silhouette</li><li>Style: Illusion V-Neckline, A-Line Silhouette, Long, Open Back</li><li>Occasion: Formal, Evening, Cocktail, Guest of Wedding, Bridal, Bridesmaid, Banquet, Prom, Ball, Graduation, Special Occasion.</li><li>Garment Care: Dry Clean Suggested</li></ul><ul><li></li>
<li></li>
<li>g</li></ul></div>",acsu063,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/SU063-2_b2cdfed7-6a1c-4031-82e6-cccbb9d27542.jpg?v=1592633395,Size,"4,6,8",0,1,Color,WHITE,0,1
variation,1,0,visible,taxable,1,0,0,,acsu063,,203,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/SU063-3_68412e67-16a5-4230-bc30-896c09a61374.jpg?v=1592633395,Size,4,0,1,Color,WHITE,0,1
variation,1,0,visible,taxable,1,0,0,,acsu063,,203,,,,Size,6,0,1,Color,WHITE,0,1
variation,1,0,visible,taxable,1,0,0,,acsu063,,203,,,,Size,8,0,1,Color,WHITE,0,1
variable,1,0,visible,taxable,1,0,0,,,Illusion V-Neck Spaghetti Strap A-Line Prom Dress AC573,193,"Long Formal Evening Dresses with illusion v-neckline, spaghetti strap dress, open back with corset closure, a-line shape.<div class=""description user-content lightboximages padded-row""><ul><li>Material: 100% Polyester</li><li>Open Back Long Dress</li><li>Illusion V-Neckline Long A-Line Silhouette</li><li>Style: Illusion V-Neckline, A-Line Silhouette, Long, Open Back</li><li>Occasion: Formal, Evening, Cocktail, Guest of Wedding, Bridal, Bridesmaid, Banquet, Prom, Ball, Graduation, Special Occasion.</li><li>Garment Care: Dry Clean Suggested</li></ul><ul><li></li>
<li></li>
<li>g</li></ul></div>",ac573,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/573-3_580d507a-a47c-4e81-a902-72ae7cd01f0d.jpg?v=1592633081,Size,"2,4,6,8,10,12,14",0,1,Color,"NAVY,BLACK",0,1
variation,1,0,visible,taxable,1,0,0,,ac573,,193,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/573-2_b76dbb41-8d4a-4980-8389-f610558de327.jpg?v=1592633081,Size,2,0,1,Color,NAVY,0,1
variation,1,0,visible,taxable,1,0,0,,ac573,,193,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/573-4_b75c10fd-634e-41e8-aa6c-57c56e378840.jpg?v=1592633082,Size,4,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,ac573,,193,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/573-5_17ee6bfb-8489-49d5-a79f-14865603e791.jpg?v=1592633082,Size,4,0,1,Color,NAVY,0,1
variation,1,0,visible,taxable,1,0,0,,ac573,,193,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/573-6_74e2dc92-c3ed-4d14-b77d-d3bcbdc90db7.jpg?v=1592633082,Size,6,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,ac573,,193,,,,Size,6,0,1,Color,NAVY,0,1
variation,1,0,visible,taxable,1,0,0,,ac573,,193,,,,Size,8,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,ac573,,193,,,,Size,8,0,1,Color,NAVY,0,1
variation,1,0,visible,taxable,1,0,0,,ac573,,193,,,,Size,10,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,ac573,,193,,,,Size,10,0,1,Color,NAVY,0,1
variation,1,0,visible,taxable,1,0,0,,ac573,,193,,,,Size,12,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,ac573,,193,,,,Size,12,0,1,Color,NAVY,0,1
variation,1,0,visible,taxable,1,0,0,,ac573,,193,,,,Size,14,0,1,Color,BLACK,0,1
variation,1,0,visible,taxable,1,0,0,,ac573,,193,,,,Size,14,0,1,Color,NAVY,0,1
