Type,Published,Is Featured,Visibility,Tax Status,In Stock,Backorder,Sold Individually,Allow Customer Reviews,Parent,Name,Regular Price,Description,SKU,Image,Attribute 1 Name,Attribute 1 Value,Attribute 1 Visibility,Attribute 1 Global,Attribute 2 Name,Attribute 2 Value,Attribute 1 Visibility,Attribute 1 Global
variable,1,0,visible,taxable,1,0,0,,,Strapless fitted sequin gown with side gathered waistline and slit. CDCH561,66,<p>Model is 5.8/size 2 and wearing size 4 or XS  in the picture. Please note our website only sells to our registered wholesale customers.  All merchandise ship from United States.</p>,cdch561,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/ch561_twin__2_1.jpg?v=1614694225,Size,"S,M,L,XL,2X,3X,4X,5X,6X,XS",0,1,Color,"MAGENTA,ROYAL,SILVER",0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/ch561_twin_3_1.jpg?v=1614694225,Size,S,0,1,Color,MAGENTA,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/ch561-_5_-_1.jpg?v=1614694225,Size,M,0,1,Color,MAGENTA,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/ch561-_5__black_2_1.jpg?v=1614694225,Size,L,0,1,Color,MAGENTA,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/ch561-_3__1.jpg?v=1614694225,Size,XL,0,1,Color,MAGENTA,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,2X,0,1,Color,MAGENTA,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,3X,0,1,Color,MAGENTA,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,4X,0,1,Color,MAGENTA,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,5X,0,1,Color,MAGENTA,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,6X,0,1,Color,MAGENTA,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,XS,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,S,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,M,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,L,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,XL,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,2X,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,3X,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,4X,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,5X,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,6X,0,1,Color,ROYAL,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,XS,0,1,Color,SILVER,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,S,0,1,Color,SILVER,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,M,0,1,Color,SILVER,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,L,0,1,Color,SILVER,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,XL,0,1,Color,SILVER,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,2X,0,1,Color,SILVER,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,3X,0,1,Color,SILVER,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,4X,0,1,Color,SILVER,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,5X,0,1,Color,SILVER,0,1
variation,1,0,visible,taxable,1,0,0,,cdch561,,66,,,,Size,6X,0,1,Color,SILVER,0,1
variable,1,0,visible,taxable,1,0,0,,,Strapless ruched sparkle dress with sweetheart neckline and leg slit. CDCF331,87,<p>Model is 5.8/size 2 and wearing size 4 or XS in the picture. Please note our website only sells to our registered wholesale customers. All merchandise ship from United States.</p>,cdcf331,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/cf331_twin_3_1_c0092f72-88c4-461d-9e03-78f169b06ed7.jpg?v=1612973677,Size,"XS,M,L,XL,2X,3X,4X,5X,6X,XXS",0,1,Color,"BLUE,CHARCOAL,LT-SILVER,MAUVE",0,1
variation,1,0,visible,taxable,1,0,0,,cdcf331,,87,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/cf331_twin__1_df179f67-d82a-4d13-b64c-dfc28298c1b8.jpg?v=1612973677,Size,XS,0,1,Color,BLUE,0,1
variation,1,0,visible,taxable,1,0,0,,cdcf331,,87,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/cf331_mauve_1_85bdb5e0-cd2e-4acb-aa81-95e9a8907604.jpg?v=1612973677,Size,S,0,1,Color,BLUE,0,1
variation,1,0,visible,taxable,1,0,0,,cdcf331,,87,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/cf331_mauve_b_1_5911e087-18b7-4fd4-9068-5ba5f6b0ab9e.jpg?v=1612973677,Size,M,0,1,Color,BLUE,0,1
variation,1,0,visible,taxable,1,0,0,,cdcf331,,87,,,https://cdn.shopify.com/s/files/1/0027/1076/5666/products/cf331_1_1_06292e14-917d-4ee5-ba45-eef463472df2.jpg?v=1612973677,Size,L,0,1,Color,BLUE,0,1
